摘要,事务密钥,事务ID,事务类型,状态,项目键,项目名称,项目类型,项目负责人,项目主管 ID,项目描述,优先级,解决方案,经办人,经办人 ID,报告人,报告人 ID,创建者,创建者 ID,已创建,已更新,最近查看过的,已解决,截止日期,表决,标签,描述,环境,管理关注列表,管理关注列表,管理关注列表,关注者 ID,关注者 ID,关注者 ID,登记工作日志,登记工作日志,原始预估,剩余估计量,所用时间,工作量比率,初始预估时间总计,Σ 剩余估计量,总耗费时间,安全级别,附件,附件,附件,附件,附件,附件,自定义字段 (Actual Result),自定义字段 (Affected Version),自定义字段 (Affected services),自定义字段 (Affects Versions),自定义字段 (Approvals),自定义字段 (Asset type),自定义字段 (Atlassian 项目),自定义字段 (Atlassian 项目状态),自定义字段 (BOM Name),自定义字段 (BOM name and version),自定义字段 (Bug Fix Point),自定义字段 (Category),自定义字段 (Client),自定义字段 (Customer Name),自定义字段 (Design Completion Date),自定义字段 (Device),自定义字段 (End Date),自定义字段 (Epic Color),自定义字段 (Epic Name),自定义字段 (Epic Status),自定义字段 (Expected Due Date),自定义字段 (Expected Result),自定义字段 (Feasibility Completion Date),自定义字段 (Fix Versions),自定义字段 (Issue color),自定义字段 (Locked forms),自定义字段 (Open forms),自定义字段 (Pain Point ),自定义字段 (Priority),自定义字段 (Prod Approved By),自定义字段 (Production Completion Date),自定义字段 (Production Only),自定义字段 (Production Status),自定义字段 (Project),自定义字段 (Project overview key),自定义字段 (Project overview status),自定义字段 (R&D completion time),自定义字段 (Rank),自定义字段 (Reference),自定义字段 (Reproduction),自定义字段 (Request Type),自定义字段 (Request language),自定义字段 (Request participants),自定义字段 (Resolution),自定义字段 (Resolver),自定义字段 (Resolver),自定义字段 (Resolver)ID,自定义字段 (Resolver),满意度评级,自定义字段 (Satisfaction date),自定义字段 (Scheduled Completion Date),自定义字段 (Sentiment),自定义字段 (Solution),自定义字段 (Solution Approach),自定义字段 (Staging Approved By),自定义字段 (Staging Completion Date),自定义字段 (Staging Status),自定义字段 (Start date),自定义字段 (Story Points),自定义字段 (Story point estimate),自定义字段 (Story point estimate),自定义字段 (Story point estimate),自定义字段 (Submitted forms),自定义字段 (Tag),自定义字段 (Target Completion Date),自定义字段 (Target Timeline),自定义字段 (Target end),自定义字段 (Target start),自定义字段 (Task Point),自定义字段 (Task Point),自定义字段 (Task Point),自定义字段 (Team),自定义字段 (Time to first response),自定义字段 (Time to resolution),自定义字段 (Total forms),自定义字段 (Trade Show Date),自定义字段 (Version),自定义字段 (Version Type),自定义字段 (Vulnerability),自定义字段 (Workflow Needed),自定义字段 ([CHART] Date of First Response),自定义字段 ([CHART] Time in Status),自定义字段 (development),自定义字段 (交付状态),自定义字段 (交付进度),自定义字段 (产品需求状态),自定义字段 (产品需求状态),自定义字段 (产品需求状态),自定义字段 (优先级),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (值),自定义字段 (工作类别),自定义字段 (工作量),自定义字段 (已链接的项目),自定义字段 (影响),自定义字段 (影响分数),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (微软),自定义字段 (想法已归档),自定义字段 (想法归档时间),自定义字段 (想法的简短描述),自定义字段 (截至日期),自定义字段 (报告人),自定义字段 (报告人)ID,自定义字段 (提测时间),自定义字段 (文档),自定义字段 (时间跟踪),自定义字段 (时间跟踪),自定义字段 (洞察信息),自定义字段 (环境),自定义字段 (环境),自定义字段 (环境),自定义字段 (目标),自定义字段 (类别),自定义字段 (置信度),自定义字段 (规格准备就绪),自定义字段 (设计准备就绪),自定义字段 (评论),自定义字段 (路线图),自定义字段 (重点领域),自定义字段 (项目),自定义字段 (项目开始),自定义字段 (项目目标),自定义字段 (预算),评论,评论,评论,评论,评论,父项,父项关键字,Parent summary,状态类别,状态类别已更改
Echilog功能开发自测,DC320-26,36678,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Peigong Wang,712020:70605205-f69c-4bea-8d5c-594fd3cbe04e,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 2:29 上午,07/十二月/25 7:55 下午,,07/十二月/25 7:55 下午,05/十二月/25 12:00 上午,0,,,,Shaoying Wang,Yanwen Wang,Yue Yang,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,712020:8b826984-d86c-4a33-a641-251511cda1da,712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@15e98edf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033of:,,,,,,,,,,,,,,,,,,,,01/十二月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-09-15 10:07:11.239,11679_*:*_1_*:*_15618359068_*|*_11681_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/九月/25 6:07 上午;712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7;参考DC300项目的方案，标定、调试是否需要一周时间？,15/九月/25 8:21 下午;712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814;[~accountid:712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7] 实际时间估计会缩短。 这个是最长估计时间。,,,,36676,DC320-24,MCU,完成,07/十二月/25 7:55 下午
Board Test（FCT)） 程序完成,DC320-27,36679,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Shaoying Wang,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 2:29 上午,27/十一月/25 2:54 上午,,20/十一月/25 3:43 上午,24/十一月/25 12:00 上午,0,,,,Shaoying Wang,Yanwen Wang,,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4b29ed58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033on:,,,,,,,,,,,,,,,,,,,,17/十一月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-11-13 08:29:06.904,11679_*:*_1_*:*_13478753083_*|*_11681_*:*_1_*:*_6743369_*|*_11680_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/十一月/25 3:29 上午;712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814;硬件回板延迟，17号才能回来。 BoardTest 开始时间同步延迟到 17号，完成时间顺延1周。,,,,,36676,DC320-24,MCU,完成,20/十一月/25 3:43 上午
Board Test 调试 并 发布第一个测试版本 Beta 1,DC320-28,36680,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Shaoying Wang,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 2:29 上午,01/十二月/25 1:27 上午,,01/十二月/25 1:27 上午,01/十二月/25 12:00 上午,0,,,,Shaoying Wang,Yanwen Wang,Yue Yang,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,712020:8b826984-d86c-4a33-a641-251511cda1da,712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6d3a966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033ov:,,,,,,,,,,,,,,,,,,,,17/十一月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-09-17 00:46:44.231,11679_*:*_1_*:*_15033425798_*|*_11681_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/九月/25 8:46 下午;712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7;boardtest+新板子全功能调试一周时间可能完不成，延长到12月12日。,16/九月/25 9:17 下午;712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7;拿到可以使用的、可以调试的硬件板子调试两周，发布第一个测试版本。,13/十一月/25 3:31 上午;712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814;硬件回板计划在 17号，拿到可以调试的板子后 压缩下时间，一周内调试完成，计划24号发布第一个测试版本。,,,36676,DC320-24,MCU,完成,01/十二月/25 1:27 上午
修复 Beta 1 测试发现的问题,DC320-29,36681,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Shaoying Wang,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 2:30 上午,15/十二月/25 7:35 下午,,15/十二月/25 7:35 下午,17/十二月/25 12:00 上午,0,,,,Shaoying Wang,Yanwen Wang,Yue Yang,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,712020:8b826984-d86c-4a33-a641-251511cda1da,712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2a8d349f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033p3:,,,,,,,,,,,,,,,,,,,,25/十一月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-09-15 10:08:12.131,11679_*:*_1_*:*_16308303447_*|*_11681_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/九月/25 6:08 上午;712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7;所有功能都有现成的方案，解决问题单是否可以缩短一点？,15/九月/25 8:22 下午;712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814;[~accountid:712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7] 方案是有参考的，不过还有可能出现新问题。例如 HMI 使用网口通信，这个可能会有一些问题出现。,16/九月/25 8:58 下午;712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7;测试版本发布后同步修改测试过程中发现的问题，start date和版本测试的起始时间一致，结束时间暂定12月22日，一般版本测试结束后3-4天发布第二个版本。,13/十一月/25 4:22 上午;712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814;硬件回板到17号，时间往后顺延。,,36676,DC320-24,MCU,完成,15/十二月/25 7:35 下午
发布第二个测试版本 Beta 2,DC320-30,36682,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Shaoying Wang,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 2:30 上午,16/十二月/25 9:11 下午,,16/十二月/25 9:11 下午,19/十二月/25 12:00 上午,0,,,,Shaoying Wang,Yanwen Wang,,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3326e5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033pb:,,,,,,,,,,,,,,,,,,,,04/十二月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-11-13 09:23:17.279,11679_*:*_2_*:*_15703350849_*|*_11681_*:*_1_*:*_733654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/十一月/25 4:23 上午;712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814;硬件回板到17号，时间往后顺延。,,,,,36676,DC320-24,MCU,完成,16/十二月/25 9:11 下午
修复 Beta 2 测试发现的问题,DC320-31,36683,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Shaoying Wang,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 2:30 上午,16/十二月/25 9:11 下午,,16/十二月/25 9:11 下午,26/十二月/25 12:00 上午,0,,,,Shaoying Wang,Yanwen Wang,Yue Yang,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,712020:8b826984-d86c-4a33-a641-251511cda1da,712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@58415511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033pj:,,,,,,,,,,,,,,,,,,,,09/十二月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-09-15 10:09:14.816,11679_*:*_1_*:*_16400488212_*|*_11681_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/九月/25 6:09 上午;712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7;修复Beta 2版本问题的时间能否压缩？,15/九月/25 8:23 下午;712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814;[~accountid:712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7] 无法预知会有多少Bug出现，可能不能压缩。,16/九月/25 9:16 下午;712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7;根据测试时间倒推的时间。,13/十一月/25 4:23 上午;712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814;硬件回板到17号，时间往后顺延。,,36676,DC320-24,MCU,完成,16/十二月/25 9:11 下午
发布可以进行认证的版本Beta 3 ,DC320-72,41227,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Shaoying Wang,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,Yue Yang,712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7,Yue Yang,712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7,17/九月/25 2:36 上午,16/十二月/25 9:13 下午,,16/十二月/25 9:11 下午,16/十二月/25 12:00 上午,0,,,,Shaoying Wang,Yue Yang,,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6936b199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033pv:,,,,,,,,,,,,,,,,,,,,16/十二月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-11-13 09:30:49.435,11679_*:*_1_*:*_7846481971_*|*_11681_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/十一月/25 4:30 上午;712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814;硬件回板到17号，时间往后顺延。,,,,,36676,DC320-24,MCU,完成,16/十二月/25 9:11 下午
修复 Beta 3 测试发现的问题,DC320-73,41229,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Shaoying Wang,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,Yue Yang,712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7,Yue Yang,712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7,17/九月/25 2:38 上午,16/十二月/25 9:12 下午,,16/十二月/25 9:12 下午,24/十二月/25 12:00 上午,0,,,,Shaoying Wang,Yue Yang,,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1ac6d3d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033pw:,,,,,,,,,,,,,,,,,,,,17/十二月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-11-13 09:31:01.095,11679_*:*_1_*:*_7846415234_*|*_11681_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/十一月/25 4:31 上午;712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814;硬件回板到17号，时间往后顺延。,,,,,36676,DC320-24,MCU,完成,16/十二月/25 9:12 下午
发布第四个测试版本 Beta 4,DC320-74,41230,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Shaoying Wang,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,Yue Yang,712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7,Yue Yang,712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7,17/九月/25 2:40 上午,16/十二月/25 9:12 下午,,16/十二月/25 9:12 下午,25/十二月/25 12:00 上午,0,,,,Shaoying Wang,Yue Yang,,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@43d873c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033py:,,,,,,,,,,,,,,,,,,,,25/十二月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-11-13 09:31:44.426,11679_*:*_1_*:*_7846278329_*|*_11681_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/十一月/25 4:31 上午;712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814;硬件回板到17号，时间往后顺延。,,,,,36676,DC320-24,MCU,完成,16/十二月/25 9:12 下午
修复 Beta 4 测试发现的问题,DC320-75,41231,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Shaoying Wang,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,Yue Yang,712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7,Yue Yang,712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7,17/九月/25 2:42 上午,16/十二月/25 9:12 下午,,16/十二月/25 9:12 下午,06/一月/26 12:00 上午,0,,,,Shaoying Wang,Yue Yang,,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@222fbde0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033py:r,,,,,,,,,,,,,,,,,,,,26/十二月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-11-13 09:32:00.828,11679_*:*_1_*:*_7846196302_*|*_11681_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/十一月/25 4:32 上午;712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814;硬件回板到17号，时间往后顺延。,,,,,36676,DC320-24,MCU,完成,16/十二月/25 9:12 下午
发布最终软件版本,DC320-32,36684,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Shaoying Wang,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 2:30 上午,13/一月/26 7:33 下午,,13/一月/26 7:33 下午,13/一月/26 12:00 上午,0,,,,Shaoying Wang,Yanwen Wang,Yue Yang,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,712020:8b826984-d86c-4a33-a641-251511cda1da,712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@52997f74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033py:v,,,,,,,,,,,,,,,,,,,,07/一月/26 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-09-17 01:05:12.71,11679_*:*_1_*:*_18813779214_*|*_11681_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/九月/25 9:05 下午;712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7;根据测试时间倒推发布最终版本时间。,13/十一月/25 4:32 上午;712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814;硬件回板到17号，时间往后顺延。,,,,36676,DC320-24,MCU,完成,13/一月/26 7:33 下午
上位机,DC320-33,36685,任务,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,Daiwei Luo,712020:5b98b0b4-dfca-4778-8cd6-880ab39c6746,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 3:12 上午,24/十一月/25 10:24 下午,,,28/十一月/25 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@296e8883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033pz:,,,,,,,,,,,,,,,,,,,,13/十月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,待办,10/六月/25 3:12 上午
"自测并协同MCU联调,发布第一个测试版本",DC320-69,41118,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Jingsheng Wu,712020:504b1da7-598d-4414-bfa4-b6ed3cdccd90,Daiwei Luo,712020:5b98b0b4-dfca-4778-8cd6-880ab39c6746,Daiwei Luo,712020:5b98b0b4-dfca-4778-8cd6-880ab39c6746,15/九月/25 3:26 上午,04/十二月/25 2:07 上午,,04/十二月/25 2:06 上午,28/十一月/25 12:00 上午,0,,,,Daiwei Luo,Jingsheng Wu,,712020:5b98b0b4-dfca-4778-8cd6-880ab39c6746,712020:504b1da7-598d-4414-bfa4-b6ed3cdccd90,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1a9be7c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033q0:,,,,,,,,,,,,,,,,,,,,27/十月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-11-03 01:29:02.956,11679_*:*_1_*:*_3605294288_*|*_11680_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/十一月/25 8:29 下午;712020:504b1da7-598d-4414-bfa4-b6ed3cdccd90;依赖硬件设备以及MCU版本，任务暂停,17/十一月/25 8:03 下午;712020:504b1da7-598d-4414-bfa4-b6ed3cdccd90;与项目沟通，MCU版本由于262紧急任务插入，MCU版本提供推迟，此任务暂停,04/十二月/25 2:07 上午;712020:504b1da7-598d-4414-bfa4-b6ed3cdccd90;版本已发布 v1.09p01,,,36685,DC320-33,上位机,完成,04/十二月/25 2:06 上午
开发调试log相关功能,DC320-68,41117,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Jingsheng Wu,712020:504b1da7-598d-4414-bfa4-b6ed3cdccd90,Daiwei Luo,712020:5b98b0b4-dfca-4778-8cd6-880ab39c6746,Daiwei Luo,712020:5b98b0b4-dfca-4778-8cd6-880ab39c6746,15/九月/25 3:25 上午,23/十月/25 9:07 下午,,23/十月/25 9:07 下午,24/十月/25 12:00 上午,0,,,,Daiwei Luo,Jingsheng Wu,,712020:5b98b0b4-dfca-4778-8cd6-880ab39c6746,712020:504b1da7-598d-4414-bfa4-b6ed3cdccd90,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3e23c89e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033q1:,,,,,,,,,,,,,,,,,,,,22/十月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-10-24 01:07:09.729,11679_*:*_1_*:*_3346925750_*|*_11681_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/十月/25 9:07 下午;712020:504b1da7-598d-4414-bfa4-b6ed3cdccd90;已开发完成，等待硬件调试,,,,,36685,DC320-33,上位机,完成,23/十月/25 9:07 下午
